num_cities,pop_size,generations,mutation_rate,num_parents,best_distance,execution_time_seconds
10,50,100,0.01,10,3.2934,0.352
10,50,100,0.01,20,2.6689,0.3809
10,50,100,0.05,10,2.5728,0.3122
10,50,100,0.05,20,2.7027,0.3428
10,50,200,0.01,10,2.9441,0.6009
10,50,200,0.01,20,2.9347,0.7088
10,50,200,0.05,10,3.2745,0.5973
10,50,200,0.05,20,2.1335,0.5544
10,100,100,0.01,10,2.8163,0.6314
10,100,100,0.01,20,2.3126,0.5425
10,100,100,0.05,10,3.1825,0.5337
10,100,100,0.05,20,2.4899,0.5465
10,100,200,0.01,10,2.9324,1.2439
10,100,200,0.01,20,2.8782,1.1573
10,100,200,0.05,10,3.2978,1.0763
10,100,200,0.05,20,2.5814,1.1293
20,50,100,0.01,10,5.091,0.5544
20,50,100,0.01,20,5.2805,0.5904
20,50,100,0.05,10,4.7166,0.53
20,50,100,0.05,20,3.6745,0.4859
20,50,200,0.01,10,5.341,1.0242
20,50,200,0.01,20,3.7914,1.0336
20,50,200,0.05,10,3.8509,1.1114
20,50,200,0.05,20,3.9195,0.9796
20,100,100,0.01,10,4.4314,1.0834
20,100,100,0.01,20,4.4238,1.0777
20,100,100,0.05,10,4.3658,1.0993
20,100,100,0.05,20,5.0325,1.0337
20,100,200,0.01,10,4.7789,1.9389
20,100,200,0.01,20,4.3367,2.0227
20,100,200,0.05,10,4.362,2.0846
20,100,200,0.05,20,4.6076,2.0259
10,50,100,0.01,10,3.1907,0.5388
10,50,100,0.01,20,3.5276,0.5632
10,50,100,0.05,10,2.9033,0.3384
10,50,100,0.05,20,2.6985,0.3564
10,50,200,0.01,10,2.779,0.7061
10,50,200,0.01,20,2.717,0.7087
10,50,200,0.05,10,2.6171,0.7092
10,50,200,0.05,20,2.9304,0.7414
10,100,100,0.01,10,2.1846,0.6835
10,100,100,0.01,20,3.0086,0.6834
10,100,100,0.05,10,2.6074,0.6253
10,100,100,0.05,20,2.4335,0.5817
10,100,200,0.01,10,2.2829,1.1408
10,100,200,0.01,20,3.1067,1.1729
10,100,200,0.05,10,3.0809,1.1241
10,100,200,0.05,20,3.0416,1.474
20,50,100,0.01,10,5.2659,0.5888
20,50,100,0.01,20,3.8251,0.5575
20,50,100,0.05,10,4.813,0.5111
20,50,100,0.05,20,4.917,0.6031
20,50,200,0.01,10,5.2327,1.4199
20,50,200,0.01,20,4.9207,1.2734
20,50,200,0.05,10,4.1304,1.2548
20,50,200,0.05,20,4.0249,1.0618
20,100,100,0.01,10,5.7589,1.2378
20,100,100,0.01,20,4.3589,1.4643
20,100,100,0.05,10,4.7075,1.4884
20,100,100,0.05,20,4.4464,1.1674
20,100,200,0.01,10,5.5309,2.4232
20,100,200,0.01,20,4.4759,2.3607
20,100,200,0.05,10,4.4279,2.3029
20,100,200,0.05,20,4.5289,2.907
10,50,100,0.01,10,3.3855,0.4612
10,50,100,0.01,20,3.4,0.3326
10,50,100,0.05,10,3.2687,0.3434
10,50,100,0.05,20,2.3052,0.345
10,50,200,0.01,10,2.6564,0.6597
10,50,200,0.01,20,3.1505,0.7249
10,50,200,0.05,10,2.727,0.7039
10,50,200,0.05,20,2.8329,0.654
10,100,100,0.01,10,3.2101,0.6518
10,100,100,0.01,20,3.0568,0.6173
10,100,100,0.05,10,2.9563,0.6676
10,50,100,0.01,10,3.002,0.3432
10,50,100,0.01,20,3.4003,0.3989
10,50,100,0.05,10,2.7094,0.2967
10,50,100,0.05,20,2.9239,0.301
10,50,200,0.01,10,3.033,0.5754
10,50,200,0.01,20,3.2452,0.6188
10,50,200,0.05,10,2.7941,0.6246
10,50,200,0.05,20,2.7253,0.8503
10,100,100,0.01,10,2.7549,1.0582
10,100,100,0.01,20,2.6724,1.1082
10,100,100,0.05,10,2.9369,0.9465
10,100,100,0.05,20,3.7419,0.7981
10,50,100,0.01,10,2.6212,0.3074
10,50,100,0.01,20,2.784,0.3529
10,50,100,0.05,10,2.6541,0.3514
10,50,100,0.05,20,2.5319,0.3518
10,50,200,0.01,10,3.606,0.6069
10,50,200,0.01,20,3.1521,0.6564
10,50,200,0.05,10,2.3834,0.683
10,50,200,0.05,20,2.8459,0.756
10,100,100,0.01,10,2.5926,0.6846
10,100,100,0.01,20,3.2949,0.5526
10,100,100,0.05,10,3.2934,0.6116
10,100,100,0.05,20,3.2103,0.5805
10,100,200,0.01,10,3.0932,1.1703
10,100,200,0.01,20,3.0214,1.1217
10,100,200,0.05,10,2.6241,1.1327
10,100,200,0.05,20,2.6493,1.1955
20,50,100,0.01,10,4.4781,0.5334
20,50,100,0.01,20,4.7314,0.5495
20,50,100,0.05,10,5.5379,0.534
20,50,100,0.05,20,3.8107,0.6216
20,50,200,0.01,10,4.5099,1.1457
20,50,200,0.01,20,4.3255,1.0773
20,50,200,0.05,10,5.2533,1.0603
20,50,200,0.05,20,4.0283,1.064
20,100,100,0.01,10,4.9704,1.0211
20,100,100,0.01,20,4.1129,1.0644
20,100,100,0.05,10,4.4037,1.406
20,100,100,0.05,20,4.0673,1.3099
20,100,200,0.01,10,4.7001,1.9826
20,100,200,0.01,20,3.6867,2.0718
20,100,200,0.05,10,3.3056,1.9734
20,100,200,0.05,20,3.6173,2.4659
100,50,100,0.01,10,31.5353,3.0581
100,50,100,0.01,20,29.0546,3.1675
100,50,100,0.05,10,29.1641,2.9161
100,50,100,0.05,20,29.1694,2.7697
100,50,200,0.01,10,28.054,5.8361
100,50,200,0.01,20,26.1106,5.3842
100,50,200,0.05,10,24.31,6.2269
100,50,200,0.05,20,23.2708,7.7922
100,100,100,0.01,10,31.4684,7.0454
100,100,100,0.01,20,29.5551,5.0447
100,100,100,0.05,10,22.3287,6.3317
100,100,100,0.05,20,24.2719,5.0565
